evaluation_run,checkpoint,dataset,protocol,aggregation,split_begin,split_end,number_of_recordings,number_of_measurements,mae_bpm,mae_standard_error_bpm,recording_macro_rmse_bpm,accuracy_within_5_bpm_percent,completion_status
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,BH-rPPG,Official,recording,0.0,1.0,105,105,2.25794007972226,0.4138276883729973,2.25794007972226,94.28571428571428,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,5.649881285847672,0.5891428147142248,9.016776159048234,79.42889348111967,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,4.167532784598214,0.500425394048796,5.548696053455201,80.49713193116634,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,COHFACE,Official,recording,0.0,1.0,160,160,4.543204320432045,0.5917802770130044,4.543204320432045,78.75,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,10.897559401953549,0.5793684697257929,15.944471696318624,56.81873331715603,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,8.395578656877792,0.5541915850461632,11.53435170466997,62.22222222222222,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,PURE,Official,recording,0.0,1.0,59,59,8.146577369601367,2.3113264891453307,8.146577369601367,83.05084745762711,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,PURE,Old,window_to_recording,0.0,1.0,59,3576,8.631604152089368,2.176086278679926,11.349484743189397,79.55816554809843,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,PURE,PRISM,window_to_recording,0.0,1.0,59,374,8.264285773399667,2.0647972331544535,10.549633475233483,78.34224598930481,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,TokyoTech,Official,recording,0.0,1.0,9,9,0.6600660066006614,0.23666685800978485,0.6600660066006614,100.0,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,2.439842209072978,1.1414108003757046,4.339370537939512,91.51873767258382,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,2.345904181985294,1.1177886822967624,3.8803963551197143,90.84967320261438,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,UBFC-PHYS,Official,recording,0.0,1.0,60,60,8.262826282628263,1.3385219125085868,8.262826282628263,58.333333333333336,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,16.57061143984221,1.266619616346385,21.71418904173255,40.77909270216962,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,UBFC-PHYS,PRISM,window_to_recording,0.0,1.0,60,1020,14.88604377297794,1.1705719197162279,19.369037235234618,41.27450980392157,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,UBFC-rPPG,Official,recording,0.8,1.0,9,9,0.6000600060005988,0.2993625271946349,0.6000600060005988,100.0,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,UBFC-rPPG,Old,window_to_recording,0.8,1.0,9,497,3.0464032710502544,1.947729254699045,5.195077648360556,91.75050301810866,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED102,UBFC-rPPG,PRISM,window_to_recording,0.8,1.0,9,52,1.568603515625,0.6926705964405001,2.808914693557652,94.23076923076923,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,BH-rPPG,Official,recording,0.0,1.0,105,105,2.50996528224251,0.43980974953287005,2.50996528224251,92.38095238095238,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,8.07952514339069,0.877532760085623,13.477850633478319,75.65282735299644,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,5.434465680803571,0.6107108520929613,7.303416328362205,76.48183556405354,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,COHFACE,Official,recording,0.0,1.0,160,160,5.498424842484249,0.6221411278386421,5.498424842484249,67.5,PASSED
