evaluation_run,checkpoint,dataset,protocol,evaluation_unit,total_count,correct_count,harmonic_1p5x_count,harmonic_2x_count,harmonic_0p5x_count,harmonic_0p333x_count,other_large_error_count
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,TokyoTech,Old,window,1521,287,0,0,549,1,684
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,TokyoTech,PRISM,window,153,72,0,0,32,0,49
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,UBFC-PHYS,Official,recording,60,29,9,0,0,0,22
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,UBFC-PHYS,Old,window,10140,1795,267,204,3716,311,3847
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,UBFC-PHYS,PRISM,window,1020,294,56,29,213,1,427
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,UBFC-rPPG,Official,recording,42,26,0,0,0,0,16
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,UBFC-rPPG,Old,window,2280,651,0,0,594,578,457
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C050_H200,UBFC-rPPG,PRISM,window,239,129,0,0,63,5,42
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,BH-rPPG,Official,recording,105,96,4,1,0,0,4
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,BH-rPPG,Old,window,5323,3922,262,105,12,0,1022
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,BH-rPPG,PRISM,window,523,433,28,3,0,0,59
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,COHFACE,Official,recording,160,95,24,3,0,0,38
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,COHFACE,Old,window,8242,3241,1450,939,118,0,2494
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,COHFACE,PRISM,window,810,371,160,62,7,0,210
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,PURE,Official,recording,12,11,0,1,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,PURE,Old,window,735,702,2,19,0,0,12
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,PURE,PRISM,window,77,71,0,5,0,0,1
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,TokyoTech,Official,recording,9,9,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,TokyoTech,Old,window,1521,1275,27,22,3,0,194
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,TokyoTech,PRISM,window,153,137,1,2,0,0,13
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,UBFC-PHYS,Official,recording,60,41,7,0,0,0,12
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,UBFC-PHYS,Old,window,10140,3802,1250,1477,274,12,3325
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,UBFC-PHYS,PRISM,window,1020,432,143,117,24,0,304
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,UBFC-rPPG,Official,recording,42,38,0,0,0,0,4
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,UBFC-rPPG,Old,window,2280,2131,7,0,23,4,115
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C100_H200,UBFC-rPPG,PRISM,window,239,225,0,0,0,0,14
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,BH-rPPG,Official,recording,105,96,3,0,0,0,6
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,BH-rPPG,Old,window,5323,4160,171,193,45,0,754
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,BH-rPPG,PRISM,window,523,433,16,11,3,0,60
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,COHFACE,Official,recording,160,115,14,0,2,0,29
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,COHFACE,Old,window,8242,3909,212,202,677,0,3242
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,COHFACE,PRISM,window,810,450,35,13,18,0,294
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,PURE,Official,recording,59,53,1,3,0,0,2
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,PURE,Old,window,3576,3146,39,56,38,30,267
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,PURE,PRISM,window,374,318,8,22,5,0,21
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,TokyoTech,Official,recording,9,9,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,TokyoTech,Old,window,1521,1254,0,5,39,0,223
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,TokyoTech,PRISM,window,153,131,0,0,3,0,19
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,UBFC-PHYS,Official,recording,60,34,6,0,0,0,20
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,UBFC-PHYS,Old,window,10140,3652,1183,1110,578,28,3589
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,UBFC-PHYS,PRISM,window,1020,395,124,92,41,0,368
